phase,layer,expert,samples,load_mean,load_std,cycles_mean,cycles_std,cycles_per_token_mean,cycles_per_token_std,cycles_per_token_min,cycles_per_token_max,cycles_per_token_cv
prefill,8,18,1,13.0,,54208914.0,,4169916.4615384615,,4169916.4615384615,4169916.4615384615,
prefill,8,20,1,22.0,,91565970.0,,4162089.5454545454,,4162089.5454545454,4162089.5454545454,
prefill,8,21,1,2.0,,8553703.0,,4276851.5,,4276851.5,4276851.5,
prefill,8,22,1,19.0,,79099833.0,,4163149.1052631577,,4163149.1052631577,4163149.1052631577,
prefill,8,24,1,5.0,,21037523.0,,4207504.6,,4207504.6,4207504.6,
prefill,8,25,1,5.0,,21072210.0,,4214442.0,,4214442.0,4214442.0,
prefill,8,26,1,25.0,,104129556.0,,4165182.24,,4165182.24,4165182.24,
prefill,8,27,1,1.0,,4627362.0,,4627362.0,,4627362.0,4627362.0,
prefill,8,28,1,7.0,,29353754.0,,4193393.4285714286,,4193393.4285714286,4193393.4285714286,
prefill,8,29,1,10.0,,42127858.0,,4212785.8,,4212785.8,4212785.8,
prefill,8,30,1,4.0,,17004556.0,,4251139.0,,4251139.0,4251139.0,
prefill,8,31,1,22.0,,91707740.0,,4168533.6363636362,,4168533.6363636362,4168533.6363636362,
prefill,9,0,1,7.0,,29291552.0,,4184507.4285714286,,4184507.4285714286,4184507.4285714286,
prefill,9,2,1,3.0,,12668071.0,,4222690.333333333,,4222690.333333333,4222690.333333333,
prefill,9,3,1,7.0,,29215395.0,,4173627.8571428573,,4173627.8571428573,4173627.8571428573,
prefill,9,4,1,1.0,,4629076.0,,4629076.0,,4629076.0,4629076.0,
prefill,9,5,1,14.0,,58232227.0,,4159444.785714286,,4159444.785714286,4159444.785714286,
prefill,9,6,1,3.0,,12677158.0,,4225719.333333333,,4225719.333333333,4225719.333333333,
prefill,9,7,1,41.0,,170315891.0,,4154046.1219512196,,4154046.1219512196,4154046.1219512196,
prefill,9,8,1,6.0,,25093799.0,,4182299.8333333335,,4182299.8333333335,4182299.8333333335,
